Name Longitude(°N) Latitude(°E) VxI VyI VxE VyE Sx Sy Cor SYear Dur n
AAC4 73.755 42.168 28.3 6.9 -0.1 5 0.3 0.3 0.004 1995.6 11.1 6
ABD4 72.05 41.784 26 5.7 -2.4 3.1 0.3 0.3 0.01 1995.5 12 7
ADA4 75.525 44.132 27 3.7 -1.2 2.3 0.4 0.4 0 1997.4 9.2 7
ADRA 70.023 40.8 26.9 8.9 -1 4.6 0.6 0.6 0.008 1994.7 4 3
AIB4 79.969 42.896 29.8 8.5 1.4 8.3 0.4 0.4 0.003 1998.8 7.8 8
AKB4 76.956 42.073 29.1 10.9 0.7 9.7 0.3 0.3 0.006 1995.6 10.8 8
AKBA 73.821 38.503 22.4 24.6 -6.1 21.3 0.6 0.6 0.004 1994.7 4 4
AKD4 80.135 47.882 24.9 2.1 -3 1.8 0.8 0.7 0.03 2000.6 4 5
AKH4 78.542 41.795 30.2 12.5 1.8 11.7 0.4 0.4 -0.005 1998.8 8 5
AKJ4 72.145 41.557 26.2 6.9 -2.2 4.3 0.3 0.3 0.011 1995.5 12 8
AKK4 76.854 42.885 28.5 5.3 0.1 4.1 0.4 0.4 0.004 1995.6 10.1 7
AKQI 78.451 40.942 29.8 17.3 1.2 16.5 0.6 0.6 0.006 1998.9 4.3 4
AKS4 75.967 40.717 28.3 14.7 -0.2 13.3 0.3 0.3 0.008 1995.8 10.8 10
AKT4 79.851 43.427 29.7 6.8 1.3 6.6 0.5 0.5 0.002 1998.8 6.8 6
AKTA 78.966 39.877 28.8 18.7 0.1 18.2 0.5 0.5 0.006 1998.9 6.3 7
AKTO 75.899 39.196 30.6 23.6 2.1 22 0.6 0.6 0 1998.9 4.3 3
ALA4 71.46 41.362 26.9 6.2 -1.4 3.5 0.3 0.3 0.007 1995.5 12 8
ALB5 76.167 42.313 28.6 7.4 0.1 6.1 0.4 0.4 0.013 1995.8 10.7 6
ALD4 72.258 39.421 21.2 15.2 -7.3 12.7 0.6 0.6 0.035 1999.6 4.8 4
ALM1 69.73 40.829 27.2 7.3 -0.9 3.7 0.5 0.5 -0.027 1994.7 8.1 3
ALT4 77.763 43.908 28 3.2 -0.4 2.4 0.4 0.4 0.003 1997.8 7.8 6
ALUN 74.244 40.331 26.5 16.5 -1.7 14.1 0.4 0.4 0.006 1994.7 7.8 7
ANA4 77.603 42.79 28.6 6.7 0.1 5.7 0.3 0.3 0.014 1995.8 10.7 8
AND4 69.514 39.737 27.2 8.6 -1.2 5.4 0.7 0.6 0.06 1999.6 4.8 4
ANGR 70.082 41.102 27.5 8.1 -0.2 3.9 0.6 0.6 0.003 1994.7 4 3
ARA4 77.75 41.86 29.5 11.9 1 10.9 0.4 0.4 -0.004 1998.8 8 5
ARC4 76.665 41.693 28.8 11.2 0.3 10.1 0.7 0.7 0.02 2002.6 3.8 3
ARG4 79.657 46.649 27.3 3.2 -0.8 2.9 0.9 0.9 0.067 2000.6 3 4
ARP4 74.827 40.838 27.8 11.1 -0.7 9.4 0.4 0.4 0.008 1997.7 8.9 7
ARS4 72.982 41.244 25.6 8.1 -2.7 6 0.4 0.5 0.012 1997.7 6.8 8
ARTUb 58.561 56.43 24.6 7.2 -0.9 1.2 0.4 0.4 0 1999.6 7.9 33
ASK4 73.538 40.075 29.2 10.8 0.7 8.7 0.7 0.7 0.058 1999.6 4.8 4
ASP4 73.494 42.7 26.4 4.2 -1.9 2 0.5 0.5 0.017 1995.6 5.9 4
ASR4 81.105 50.091 26.5 0.8 -1.1 1 0.7 0.7 0.027 2000.6 4 5
ASS4 78.148 43.31 28.8 5.1 0.5 4.4 0.5 0.5 0.002 1998.8 6.8 6
AST4 76.966 43.059 27.8 5.7 -0.3 4.6 0.5 0.5 0.009 1997.8 7.8 5
ATAI 73.933 41.383 26.8 12.6 -1.1 9.3 0.6 0.6 0.002 1994.7 4 3
AWAT 80.393 40.643 33.4 17.3 5 17.2 0.9 0.9 0.026 1998.9 2.7 3
AZO4 77.114 43.897 28.5 4.2 0.2 3.2 0.4 0.5 0.003 1997.8 7.8 6
BAB4 73.268 39.513 25.8 13.5 -2.7 11.3 0.6 0.6 0.028 1999.6 4.8 4
BACH 78.54 39.777 29.7 19.7 1.1 18.9 0.6 0.6 0.009 1998.9 4.3 3
BALH 73.98 45.069 26.7 3.8 -1.9 2.7 0.7 0.8 0.011 1995.7 3 3
BAN2b 77.512 13.034 46.2 34.6 19.8 33.4 0.6 0.6 0.002 2003.6 3.9 16
BAR4 77.616 42.008 28.7 12 0.1 11 0.5 0.5 0.036 1998.8 6.9 5
BAU4 75.019 41.576 28 7.8 -0.4 6.2 0.4 0.4 0.003 1997.7 8.9 9
BAY4 75.083 41.079 27.4 11.1 -1.1 9.5 0.4 0.4 0.007 1997.7 8.9 8
BAYS 67.046 38.175 26.5 10.3 -1.2 5.1 0.6 0.6 0.017 1994.7 4 3
BER4 75.657 42.957 27.7 5.1 -0.6 3.6 0.5 0.5 0.014 1995.6 6 4
BES4 75.795 42.818 27.9 4.9 -0.5 3.5 0.3 0.3 0.006 1995.6 11.1 6
BESH 70.524 40.357 26.5 9.5 -1.4 5.3 0.6 0.6 0.008 1994.7 4 3
BET4 75.03 40.646 28.2 12.1 -0.2 10.4 0.4 0.4 0.005 1997.7 8.9 8
BIN4 79.416 45.137 26.9 3.9 -1.4 3.6 0.7 0.7 0.036 2000.6 4 5
BKE4 75.426 40.757 28.1 13.3 -0.4 11.9 0.7 0.7 0.02 2002.6 4 4
BOK4 73.212 42.768 27 4 -1.3 1.8 0.8 0.7 -0.001 1995.6 3.8 3
BOL4 83.984 49.038 25.9 0.6 -1.7 1.3 0.7 0.7 0.007 2000.6 4 5
BOR4 73.235 41.648 27.1 7.6 -1.2 5.4 0.4 0.4 0.011 1995.6 8.8 6
